331,69 332,27 0
331,68 332,26 0
836,120 837,22 1
836,127 837,31 0
836,125 837,30 0
836,124 837,28 0
836,124 837,29 0
331,61 332,18 0
331,60 332,15 0
331,60 332,17 0
331,60 332,16 0
331,62 332,20 0
331,62 332,19 0
331,64 332,21 0
331,64 332,22 0
331,67 332,25 0
331,66 332,23 0
331,66 332,24 0
822,37 823,142 0
822,37 823,141 0
822,37 823,140 0
822,37 823,139 0
707,99 708,21 0
822,34 823,138 0
707,91 708,11 0
707,91 708,12 0
707,91 708,13 0
707,92 708,14 0
707,92 708,15 0
707,94 708,16 0
707,94 708,17 0
707,97 708,19 0
707,97 708,20 0
707,96 708,18 0
309,49 310,11 1
865,107 866,11 0
865,107 866,10 0
865,107 866,12 0
865,100 866,1 0
865,102 866,4 0
865,102 866,3 0
865,102 866,2 0
309,41 310,1 0
309,41 310,0 0
309,42 310,3 0
309,42 310,2 0
309,44 310,5 0
309,44 310,4 1
309,44 310,7 0
309,44 310,6 0
309,46 310,9 0
309,46 310,8 0
309,47 310,10 0
515,6 516,62 0
515,6 516,63 0
515,4 516,60 0
515,5 516,61 0
515,2 516,58 0
515,2 516,57 0
515,2 516,56 0
515,3 516,59 0
515,0 516,53 0
515,0 516,54 0
515,1 516,55 0
515,8 516,64 0
515,8 516,65 0
515,8 516,66 0
515,9 516,67 1
852,38 853,145 0
852,39 853,146 0
745,119 746,28 0
852,30 853,134 0
852,30 853,133 0
852,30 853,132 0
852,31 853,136 0
852,31 853,135 0
852,32 853,137 0
745,118 746,27 0
852,34 853,138 0
852,35 853,140 0
852,35 853,141 0
852,35 853,139 0
852,37 853,142 0
852,37 853,143 0
852,37 853,144 0
844,60 845,161 0
844,62 845,162 0
844,67 845,163 0
844,68 845,164 0
844,69 845,165 0
946,81 947,13 0
946,81 947,12 0
946,81 947,11 0
946,81 947,15 0
946,81 947,14 0
946,80 947,10 1
946,80 947,9 0
946,80 947,8 0
946,80 947,7 0
946,80 947,6 0
893,31 894,138 0
893,30 894,136 0
893,30 894,137 0
893,37 894,143 0
893,37 894,144 0
893,35 894,141 0
893,35 894,140 0
893,35 894,142 0
893,34 894,139 0
893,39 894,145 0
891,68 892,157 0
829,141 830,50 0
829,140 830,49 0
829,140 830,48 0
829,142 830,52 0
829,142 830,53 0
829,142 830,51 0
829,147 830,54 0
829,147 830,55 0
187,39 188,13 0
187,38 188,12 0
187,38 188,11 1
187,34 188,8 0
187,34 188,9 1
187,37 188,10 0
187,30 188,4 0
187,33 188,6 0
187,33 188,7 0
187,32 188,5 0
599,64 600,129 0
599,66 600,130 0
599,61 600,122 0
599,60 600,121 0
599,63 600,126 0
599,63 600,127 0
599,63 600,128 0
599,62 600,124 0
599,62 600,125 0
