905,33 906,143
893,108 894,7
781,166 782,76
893,104 894,5
971,65 972,163
783,106 784,21
959,114 960,13
865,193 866,88
865,196 866,92
816,22 817,111
899,99 900,15
899,98 900,14
865,195 866,91
875,95 876,39
875,94 876,34
875,96 876,40
605,0 606,74
605,1 606,75
605,6 606,78
605,4 606,77
450,92 451,44
450,93 451,45
749,76 750,152
973,86 974,194
973,82 974,192
931,128 932,69
931,123 932,63
931,122 932,62
901,33 902,122
901,32 902,121
901,37 902,131
901,36 902,127
901,38 902,132
660,28 661,103
660,29 661,104
660,22 661,92
660,24 661,95
660,25 661,97
482,63 483,1
915,98 916,0
482,61 483,0
833,79 834,179
833,71 834,174
833,70 834,172
952,60 953,152
952,65 953,156
801,125 802,38
801,124 802,37
757,27 758,122
757,23 758,118
801,120 802,32
917,0 918,108
917,4 918,117
622,122 623,45
622,126 623,50
467,56 468,4
467,55 468,1
467,50 468,0
838,146 839,51
838,145 839,50
467,58 468,5
467,59 468,6
792,56 793,157
792,55 793,156
963,136 964,38
479,39 480,91
479,30 480,84
479,36 480,88
479,34 480,86
555,2 556,63
555,7 556,67
327,7 328,46
327,6 328,45
327,4 328,43
327,2 328,39
327,1 328,38
824,38 825,136
824,32 825,130
824,34 825,133
824,37 825,134
906,178 907,78
955,57 956,138
773,167 774,74
773,161 774,71
773,163 774,73
906,179 907,79
433,78 434,33
433,71 434,27
433,70 434,26
433,75 434,31
433,74 434,29
993,74 994,180
765,79 766,152
765,71 766,143
765,77 766,148
765,76 766,146
679,131 680,59
679,130 680,57
679,134 680,61
679,137 680,64
662,108 663,34
904,62 905,160
662,107 663,33
662,100 663,26
662,101 663,30
662,103 663,31
283,31 284,2
283,32 284,6
283,39 284,10
904,66 905,162
828,38 829,124
828,34 829,120
828,30 829,115
828,32 829,117
229,26 230,57
229,25 230,56
845,1 846,99
845,2 846,100
498,18 499,84
498,10 499,74
498,11 499,76
498,12 499,77
498,17 499,83
762,59 763,142
768,37 769,127
961,161 962,78
961,166 962,84
961,165 962,83
963,106 964,11
768,33 769,119
955,59 956,141
522,27 523,89
522,26 523,88
522,24 523,85
522,21 523,83
522,20 523,82
814,63 815,129
814,64 815,133
389,31 390,64
389,33 390,65
389,37 390,69
389,36 390,68
514,80 515,25
514,83 515,29
514,85 515,30
514,85 515,31
514,87 515,33
862,99 863,189
914,134 915,38
914,136 915,39
914,130 915,34
534,78 535,16
534,76 535,14
534,74 535,9
534,73 535,8
962,93 963,1
716,75 717,150
716,74 717,148
526,29 527,80
526,21 527,72
526,27 527,79
526,24 527,73
927,167 928,56
927,168 928,57
306,40 307,4
306,45 307,11
306,44 307,10
306,47 307,13
878,87 879,3
878,80 879,159
674,15 675,106
969,27 970,136
674,17 675,107
969,28 970,137
674,12 675,100
922,38 923,171
674,13 675,103
979,104 980,4
559,21 560,82
950,119 951,28
501,69 502,5
501,69 502,2
579,92 580,21
579,94 580,22
579,95 580,23
501,66 502,0
501,62 502,113
501,63 502,114
704,126 705,57
704,125 705,56
704,121 705,54
629,56 630,146
629,54 630,141
629,55 630,143
629,52 630,137
391,56 392,21
391,57 392,24
734,105 735,13
734,106 735,14
734,107 735,15
734,100 735,8
969,185 970,95
969,186 970,97
969,187 970,98
969,181 970,91
969,189 970,100
848,160 849,63
848,162 849,66
848,163 849,67
848,165 849,70
848,166 849,72
100,1 101,12
100,2 101,14
100,5 101,17
100,6 101,18
532,91 533,45
960,130 961,36
960,133 961,38
960,134 961,40
838,69 839,152
950,111 951,19
960,139 961,43
860,75 861,183
860,76 861,184
860,71 861,179
860,70 861,178
128,23 129,14
128,22 129,13
860,79 861,185
254,5 255,34
838,61 839,148
254,0 255,30
838,60 839,147
996,79 997,178
996,72 997,170
996,71 997,169
606,109 607,45
606,100 607,35
606,101 607,36
606,106 607,41
606,104 607,39
982,49 983,23
982,49 983,26
982,45 983,17
982,44 983,16
254,9 255,38
928,101 929,216
928,106 929,0
543,48 544,116
543,40 544,102
543,42 544,105
543,43 544,106
543,45 544,112
617,46 618,125
617,40 618,120
617,41 618,123
617,42 618,124
13,0 14,0
551,56 552,114
551,57 552,117
551,50 552,108
551,53 552,112
