923,199 924,76 0
715,110 716,28 0
715,111 716,29 1
715,115 716,30 0
715,116 716,33 0
713,44 714,126 0
707,91 708,13 0
822,33 823,136 0
713,49 714,128 0
707,92 708,14 0
707,97 708,20 0
707,96 708,18 0
865,104 866,7 1
344,9 345,40 0
865,100 866,1 0
447,23 448,69 0
309,41 310,0 0
344,0 345,36 1
822,30 823,133 0
309,44 310,4 1
344,7 345,38 0
309,46 310,8 0
309,47 310,10 0
805,171 806,76 0
666,88 667,157 0
666,89 667,158 0
825,119 826,26 1
825,116 826,25 0
825,115 826,22 0
666,80 667,152 0
825,110 826,20 0
666,83 667,155 0
515,6 516,62 0
515,4 516,60 0
515,5 516,61 0
515,2 516,57 0
515,2 516,56 0
515,1 516,55 0
515,8 516,66 0
515,9 516,67 1
852,39 853,146 0
852,31 853,136 0
852,34 853,138 0
852,37 853,142 0
501,8 502,65 0
501,7 502,63 0
501,1 502,59 0
501,0 502,58 0
844,60 845,161 0
443,28 444,69 0
844,62 845,162 0
496,100 497,52 0
844,67 845,163 0
844,69 845,165 0
946,81 947,11 0
946,80 947,10 0
443,24 444,63 1
443,27 444,67 0
756,134 757,58 0
893,30 894,137 0
974,118 975,22 0
893,35 894,140 0
974,115 975,18 0
974,116 975,21 0
974,112 975,16 0
829,140 830,48 0
829,142 830,51 0
829,147 830,55 0
187,39 188,13 0
187,38 188,11 1
187,34 188,9 1
187,30 188,4 0
599,64 600,129 0
599,60 600,121 0
599,63 600,126 0
599,62 600,125 0
599,68 600,133 1
719,138 720,48 0
770,44 771,139 0
770,47 771,140 0
569,96 570,34 0
615,139 616,71 0
615,138 616,70 1
569,98 570,37 0
466,49 467,90 1
466,46 467,87 0
466,45 467,84 0
466,42 467,80 0
853,73 854,163 0
454,99 455,35 1
853,76 854,168 0
823,29 824,131 0
823,28 824,130 0
823,24 824,125 0
454,94 455,33 0
823,22 824,123 1
856,38 857,142 0
960,87 961,174 0
856,35 857,139 0
960,85 961,172 0
960,84 961,169 0
856,30 857,134 1
856,31 857,135 0
960,81 961,166 0
960,80 961,165 0
910,138 911,41 0
491,68 492,3 0
491,63 492,118 0
910,133 911,35 0
910,134 911,36 0
491,65 492,120 0
615,94 616,20 0
615,97 616,22 0
615,96 616,21 0
615,91 616,17 0
615,93 616,19 0
570,82 571,25 0
941,58 942,51 0
570,80 571,24 1
570,86 571,28 0
570,85 571,26 0
447,98 448,34 0
905,37 906,149 0
905,33 906,143 0
905,32 906,141 0
905,32 906,142 0
893,108 894,7 0
549,138 550,58 0
171,34 172,9 0
171,34 172,10 1
171,38 172,14 1
549,132 550,54 0
549,131 550,51 0
900,75 901,163 0
893,104 894,5 1
971,60 972,160 0
971,65 972,163 1
447,90 448,26 1
590,55 591,136 0
590,54 591,135 0
590,51 591,131 0
840,79 841,178 0
590,59 591,144 0
590,58 591,141 0
447,93 448,29 0
865,196 866,92 0
396,10 397,57 0
816,22 817,111 0
935,173 936,76 0
899,99 900,15 0
899,98 900,14 1
816,20 817,109 0
875,95 876,39 0
875,94 876,34 0
875,96 876,40 1
917,36 918,137 0
917,32 918,136 0
917,38 918,141 0
849,191 850,90 0
687,89 688,13 0
865,74 866,166 0
687,88 688,11 0
27,0 28,4 1
605,0 606,74 0
605,1 606,75 0
605,6 606,78 0
27,4 28,3 1
605,4 606,77 0
450,92 451,44 0
450,93 451,45 0
619,0 620,79 0
619,0 620,78 0
723,132 724,56 0
619,5 620,82 0
500,75 501,18 0
500,76 501,22 0
987,193 988,93 1
500,73 501,17 0
500,73 501,16 0
282,25 283,57 0
282,22 283,54 1
931,128 932,69 0
931,123 932,63 0
931,122 932,62 1
