85,62 86,10
85,65 86,12
85,68 86,16
996,75 997,32
606,109 607,55
606,101 607,41
606,105 607,46
869,109 870,53
988,29 989,60
289,78 290,26
289,76 290,23
289,72 290,19
289,70 290,13
289,71 290,17
846,97 847,36
543,40 544,100
543,45 544,102
543,47 544,105
617,44 618,103
617,47 618,105
617,40 618,100
617,43 618,102
617,48 618,106
13,0 14,52
13,8 14,58
13,9 14,59
760,109 761,47
760,108 761,46
810,100 811,30
810,103 811,34
810,104 811,35
810,108 811,37
731,97 732,54
731,90 732,47
731,98 732,55
569,55 570,108
569,53 570,106
569,50 570,103
569,58 570,0
34,58 35,0
34,51 35,84
34,56 35,88
803,89 804,34
21,19 22,75
803,82 804,26
803,80 804,20
803,87 804,30
114,50 115,113
396,52 397,2
396,51 397,0
396,56 397,6
447,26 448,93
809,4 810,73
809,5 810,74
990,55 991,18
990,54 991,17
746,52 747,117
746,53 747,0
746,56 747,2
746,55 747,1
809,7 810,76
457,84 458,23
457,85 458,27
457,81 458,22
457,88 458,30
678,61 679,8
678,60 679,6
678,64 679,12
344,21 345,73
344,27 345,77
344,28 345,78
376,40 377,98
376,47 377,101
778,94 779,43
778,93 779,40
778,90 779,39
778,98 779,48
21,16 22,71
928,86 929,35
928,86 929,36
515,9 516,65
928,85 929,34
131,118 132,57
131,113 132,52
131,117 132,56
784,3 785,54
784,0 785,53
784,6 785,58
784,7 785,59
691,46 692,93
691,41 692,92
485,37 486,93
485,31 486,88
485,32 486,90
485,39 486,97
586,95 587,38
66,58 67,6
586,90 587,35
66,52 67,117
66,51 67,115
66,57 67,4
66,54 67,119
638,28 639,91
638,23 639,89
638,24 639,90
670,40 671,82
55,43 56,95
55,41 56,92
55,45 56,99
55,49 56,106
55,48 56,105
303,90 304,35
597,88 598,37
215,81 216,27
215,86 216,30
217,31 218,82
217,35 218,84
217,37 218,85
17,20 18,74
17,26 18,82
17,25 18,78
17,29 18,86
364,70 365,15
364,71 365,16
364,78 365,22
966,60 967,24
234,50 235,97
234,51 235,100
234,56 235,105
234,58 235,107
222,116 223,61
222,113 223,57
222,110 223,54
13,26 14,79
13,24 14,77
13,24 14,76
13,20 14,73
693,112 694,50
409,17 410,75
409,14 410,71
189,46 190,98
189,47 190,100
189,43 190,97
189,40 190,93
189,41 190,96
281,44 282,109
281,42 282,108
272,9 273,69
272,3 273,63
272,5 273,65
423,25 424,84
523,118 524,49
423,28 424,86
323,9 324,64
502,100 503,30
19,85 20,20
19,82 20,15
544,25 545,88
544,23 545,85
657,81 658,25
489,52 490,90
489,50 490,89
489,56 490,93
992,20 993,59
770,45 771,120
996,15 997,55
819,91 820,27
819,97 820,31
168,88 169,36
168,85 169,33
168,81 169,30
168,80 169,28
825,15 826,76
825,11 826,74
511,75 512,12
511,72 512,10
511,70 512,9
511,78 512,15
155,55 156,3
155,57 156,6
155,52 156,0
155,53 156,2
74,108 75,56
284,18 285,75
74,103 75,53
74,101 75,51
282,31 283,89
123,92 124,43
166,53 167,102
160,94 161,29
160,97 161,32
44,89 45,28
685,102 686,47
685,105 686,50
685,106 686,53
44,80 45,18
44,84 45,23
21,71 22,21
21,76 22,29
651,39 652,90
651,36 652,88
651,35 652,85
651,32 652,80
466,49 467,98
466,46 467,97
566,70 567,6
566,78 567,14
311,69 312,16
311,69 312,15
311,66 312,13
311,65 312,12
311,61 312,10
976,8 977,53
705,7 706,69
853,73 854,33
705,6 706,67
499,5 500,61
499,0 500,57
823,27 824,68
164,99 165,47
823,26 824,66
164,95 165,39
164,96 165,42
164,97 165,43
164,91 165,34
164,92 165,37
823,23 824,63
889,41 890,99
889,40 890,96
889,40 890,98
179,104 180,51
179,101 180,47
179,100 180,46
655,33 656,88
655,31 656,86
655,37 656,93
655,34 656,90
321,54 322,109
321,58 322,0
181,0 182,52
181,2 182,53
181,5 182,61
181,4 182,59
283,1 284,57
283,2 284,58
283,5 284,60
283,5 284,61
283,8 284,66
388,18 389,88
388,19 389,90
153,27 154,76
46,1 47,58
46,4 47,61
367,92 368,35
